gene_id,gene_symbol
ENSG00000008517.19,IL32
ENSG00000161896.12,IP6K3
ENSG00000162897.16,FCAMR
ENSG00000115129.14,TP53I3
ENSG00000144445.17,KANSL1L
ENSG00000107957.17,SH3PXD2A
ENSG00000047597.7,XK
ENSG00000083812.13,ZNF324
ENSG00000083838.17,ZNF446
ENSG00000171132.14,PRKCE
ENSG00000255760.5,LINC02422
ENSG00000059573.9,ALDH18A1
ENSG00000083223.18,TUT7
ENSG00000140450.9,ARRDC4
ENSG00000258498.11,DIO3OS
ENSG00000182481.10,KPNA2
ENSG00000108641.20,B9D1
ENSG00000125746.18,EML2
ENSG00000254659.4,LINC02715
ENSG00000166033.13,HTRA1
ENSG00000125354.24,SEPTIN6
ENSG00000184517.12,ZFP1
ENSG00000103966.11,EHD4
ENSG00000267575.10,LINC02987
ENSG00000229981.9,LINC01435
ENSG00000147065.18,MSN
ENSG00000041515.16,MYO16
ENSG00000078687.18,TNRC6C
ENSG00000143390.18,RFX5
ENSG00000073734.10,ABCB11
ENSG00000125775.15,SDCBP2
ENSG00000164251.5,F2RL1
ENSG00000013364.19,MVP
ENSG00000158186.13,MRAS
ENSG00000115762.17,PLEKHB2
ENSG00000008311.16,AASS
ENSG00000109103.12,UNC119
ENSG00000143434.17,SEMA6C
ENSG00000136830.12,NIBAN2
ENSG00000151715.8,TMEM45B
ENSG00000164418.22,GRIK2
ENSG00000159720.13,ATP6V0D1
ENSG00000179218.15,CALR
ENSG00000177606.9,JUN
ENSG00000198074.10,AKR1B10
ENSG00000107736.22,CDH23
ENSG00000164080.14,RAD54L2
ENSG00000114999.8,TTL
ENSG00000214050.8,FBXO16
ENSG00000006327.14,TNFRSF12A
ENSG00000135127.12,BICDL1
ENSG00000106366.9,SERPINE1
ENSG00000072736.19,NFATC3
ENSG00000185215.11,TNFAIP2
ENSG00000010932.17,FMO1
ENSG00000144476.6,ACKR3
ENSG00000124762.15,CDKN1A
ENSG00000160746.13,ANO10
ENSG00000197461.13,PDGFA
ENSG00000161048.12,NAPEPLD
ENSG00000094804.12,CDC6
ENSG00000177138.17,FAM9B
ENSG00000102804.16,TSC22D1
ENSG00000289035.2,LOC107985936
ENSG00000080200.10,CRYBG3
ENSG00000180071.21,ANKRD18A
ENSG00000133985.3,TTC9
ENSG00000118515.12,SGK1
ENSG00000253433.2,NCRNA00250
ENSG00000182648.16,RNF32-DT
ENSG00000184743.13,ATL3
ENSG00000108819.11,PPP1R9B
ENSG00000025708.14,TYMP
ENSG00000146670.10,CDCA5
ENSG00000184545.11,DUSP8
ENSG00000117676.14,RPS6KA1
ENSG00000108654.16,DDX5
ENSG00000164938.14,TP53INP1
ENSG00000146535.15,GNA12
ENSG00000083857.15,FAT1
ENSG00000114739.14,ACVR2B
ENSG00000138107.13,ACTR1A
ENSG00000146826.17,TRAPPC14
ENSG00000123240.17,OPTN
ENSG00000184863.11,RBM33
ENSG00000081913.14,PHLPP1
ENSG00000247828.11,TMEM161B-DT
ENSG00000213700.3,RPL17P50
ENSG00000248489.5,LOC100289230
ENSG00000140391.15,TSPAN3
ENSG00000130762.15,ARHGEF16
ENSG00000132693.12,CRP
ENSG00000090382.7,LYZ
ENSG00000232812.3,LINC01717
ENSG00000232810.5,TNF
ENSG00000131323.17,TRAF3
ENSG00000059588.10,TARBP1
ENSG00000113645.15,WWC1
ENSG00000115009.13,CCL20
ENSG00000135597.19,REPS1
ENSG00000116661.11,FBXO2
ENSG00000128245.15,YWHAH
ENSG00000131389.18,SLC6A6
ENSG00000260468.1,LINC01290
ENSG00000181026.15,AEN
ENSG00000188177.15,ZC3H6
ENSG00000143333.7,RGS16
ENSG00000165912.16,PACSIN3
ENSG00000237700.2,PRAMEF33
ENSG00000081026.19,MAGI3
ENSG00000187545.5,PRAMEF10
ENSG00000134769.23,DTNA
ENSG00000266338.7,NBPF15
ENSG00000111057.11,KRT18
ENSG00000250608.3,NUDT16-DT
ENSG00000106123.13,EPHB6
ENSG00000182054.10,IDH2
ENSG00000178852.16,EFCAB13
ENSG00000288702.1,UGT1A3
ENSG00000139269.3,INHBE
ENSG00000163069.13,SGCB
ENSG00000187474.5,FPR3
ENSG00000124215.17,CDH26
ENSG00000100985.7,MMP9
ENSG00000196209.13,SIRPB2
ENSG00000158406.6,H4C8
ENSG00000175445.17,LPL
ENSG00000166321.14,NUDT13
ENSG00000102452.18,NALCN
ENSG00000165105.10,RASEF
ENSG00000163435.16,ELF3
ENSG00000244128.10,LINC01322
ENSG00000234456.11,MAGI2-AS3
ENSG00000170421.13,KRT8
ENSG00000136167.15,LCP1
ENSG00000162704.16,ARPC5
ENSG00000122420.10,PTGFR
ENSG00000172943.21,PHF8
ENSG00000173744.18,AGFG1
ENSG00000141858.12,SAMD1
ENSG00000091409.17,ITGA6
ENSG00000276600.5,RAB7B
ENSG00000167105.8,TMEM92
ENSG00000162772.18,ATF3
ENSG00000187288.12,CIDEC
ENSG00000158710.15,TAGLN2
ENSG00000105976.16,MET
ENSG00000136709.12,WDR33
ENSG00000130592.17,LSP1
ENSG00000132199.20,ENOSF1
ENSG00000165731.22,RET
ENSG00000103479.17,RBL2
ENSG00000128284.21,APOL3
ENSG00000234684.9,SDCBP2-AS1
ENSG00000103942.13,HOMER2
ENSG00000070540.13,WIPI1
ENSG00000180769.10,WDFY3-AS2
ENSG00000033178.13,UBA6
ENSG00000019582.17,CD74
ENSG00000197965.12,MPZL1
ENSG00000106868.17,SUSD1
ENSG00000135709.14,KIAA0513
ENSG00000029993.15,HMGB3
ENSG00000077152.12,UBE2T
ENSG00000090520.12,DNAJB11
ENSG00000030419.17,IKZF2
ENSG00000203805.11,PLPP4
ENSG00000235706.10,DICER1-AS1
ENSG00000150867.14,PIP4K2A
ENSG00000165175.17,MID1IP1
ENSG00000197798.9,FAM118B
ENSG00000124713.6,GNMT
ENSG00000103591.13,AAGAB
ENSG00000267121.8,FMNL1-DT
ENSG00000163075.13,CFAP221
ENSG00000125538.12,IL1B
ENSG00000101210.14,EEF1A2
ENSG00000062598.18,ELMO2
ENSG00000136504.15,KAT7
ENSG00000085265.12,FCN1
ENSG00000198739.11,LRRTM3
ENSG00000008513.17,ST3GAL1
ENSG00000237943.8,PRKCQ-AS1
ENSG00000170006.13,TMEM154
ENSG00000179630.11,LACC1
ENSG00000211584.14,SLC48A1
ENSG00000164626.9,KCNK5
ENSG00000132305.22,IMMT
ENSG00000029153.15,BMAL2
ENSG00000112149.11,CD83
ENSG00000175773.16,ZBTB44-DT
ENSG00000060656.20,PTPRU
