human_id,Symbol,Pattern,Status_Hoang_et_al,Hoang_et_al_lfc,Hoang_et_al_padj,Status_Govaere_et_al,Govaere_et_al_lfc,Govaere_et_al_padj,Status_In_house_MCD,In_house_MCD_lfc,In_house_MCD_padj,Status_External_MCD_1,External_MCD_1_lfc,External_MCD_1_padj,Status_External_MCD_2,External_MCD_2_lfc,External_MCD_2_padj
ENSG00000134363,FST,"UP in 1 (External_MCD_2) | DOWN in 3 (Govaere_et_al,In_house_MCD,External_MCD_1)",NS,0.548301381144019,0.217260839197437,DOWN,-2.02932210751362,5.917382038163019e-16,DOWN,-0.8602793751569348,0.0026344589202097,DOWN,-1.7805455409369575,0.0001600300616284,UP,2.265247308540228,0.0004420204728637
ENSG00000122862,SRGN,"UP in 3 (Hoang_et_al,In_house_MCD,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,1.10706370045508,0.0161562988441791,DOWN,-1.10377731974204,0.0001388033335648,UP,1.1131267280310737,1.3792148792860053e-08,NS,0.5673560265863532,0.00376763865428,UP,1.2347996429899124,0.0203956874401291
ENSG00000186204,CYP4F12,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,-0.796796732947212,0.0301190784874449,NS,0.154225245480172,0.592072499090787,UP,3.920770669254584,2.229605616802601e-28,UP,5.258083611429913,1.043921346770966e-78,DOWN,-1.1818629557423252,0.0002364886681857
ENSG00000167702,KIFC2,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.0273278186246367,0.949902283430915,UP,0.919818759588201,0.0287041524482206,DOWN,-1.5778343997346171,2.017714697523436e-07,DOWN,-1.305857458209051,5.834338819822346e-08,NS,0.0553505238577538,0.9497086647675624
ENSG00000113161,HMGCR,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,1.45962673186579,0.116734144906653,UP,1.13069611442364,0.013927732724304,NS,-0.1027582449002258,0.7236606203627707,DOWN,-1.3234779254500952,1.1850227500159048e-09,DOWN,-0.9007786939949388,0.0352394595283535
ENSG00000001630,CYP51A1,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.895237917807563,0.162331522140906,UP,3.76426008969591,1.81247626767598e-14,NS,-0.5812620948433239,0.0026653804560602,DOWN,-1.262295818788593,2.9354150082693736e-07,DOWN,-1.1987113246460253,0.0007239169142922
ENSG00000185269,NOTUM,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",UP,0.825638040708463,0.0350892866832781,UP,0.991129393018925,0.0003094412587993,NS,-0.4610409875405468,0.0751002380052588,DOWN,-1.4372894822167923,1.400429635864247e-16,DOWN,-0.8291376078183325,0.0171181509087187
ENSG00000023445,BIRC3,UP in 1 (Hoang_et_al) | DOWN in 1 (External_MCD_1),UP,1.04836947456618,0.0078556084665108,NS,-0.20184684796864,0.567637615853726,NS,-0.3157904959225883,0.0512926179165906,DOWN,-1.0194434468954752,1.6492464332479327e-05,NS,0.5165123969372707,0.1837637482565426
ENSG00000108691,CCL2,"UP in 4 (Hoang_et_al,In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,1.25374759665193,0.0375171905993612,DOWN,-1.68578700002275,4.094732899634511e-09,UP,3.516139176630926,6.32377510364231e-32,UP,3.320400408049592,1.6487400749097105e-17,UP,2.377147696743526,5.048253858320032e-07
ENSG00000183091,NEB,UP in 1 (Hoang_et_al) | DOWN in 1 (In_house_MCD),UP,1.20665978117675,0.0347331961944793,NS,0.510100451629337,0.280846509952704,DOWN,-1.7955191407716442,3.566457995738389e-07,NS,0.36850836978766,,NS,0.0258707907270648,0.983287897528166
ENSG00000147894,C9orf72,"UP in 2 (External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,-0.324783410539562,0.160250261394003,DOWN,-1.30963150483332,1.69657360906154e-10,NS,0.7023756034682915,6.152309729753512e-07,UP,0.8861211107119598,1.5323164912244448e-12,UP,0.8397476515082454,0.0107103522540799
ENSG00000182871,COL18A1,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,-0.176970066653889,0.598077469108579,UP,1.60024275646226,1.04353273339698e-06,NS,-0.08116329342858,0.7893404877795003,DOWN,-0.9894149628215456,4.928728877278564e-19,DOWN,-0.8121562465710571,0.0048162868448945
ENSG00000184979,USP18,"UP in 3 (Govaere_et_al,In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,0.421952788403424,0.440752648531651,UP,0.847146387684259,5.88365689240064e-06,UP,1.403483837632436,1.9710027418029125e-07,UP,1.394485623800375,4.992043576763981e-15,DOWN,-1.0069586383327718,0.0094571660324835
ENSG00000277196,ENSG00000277196,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,-1.4331277238807,0.128409879583261,UP,1.40155669913588,0.0044638368604684,NS,-0.4313263173252774,0.0562178043966145,DOWN,-0.8803009231593332,3.8707814382009093e-07,NS,-0.5574442239296991,0.1971843520909771
ENSG00000094963,FMO2,"UP in 2 (Govaere_et_al,In_house_MCD) | DOWN in 1 (External_MCD_2)",NS,0.313040801922411,0.60458147382548,UP,0.941882153433695,0.0150558813507548,UP,1.0879423248003308,0.0009976256602374,NS,0.7434454287467943,0.3918082832167809,DOWN,-0.8433524475941595,0.0355198291363866
ENSG00000188833,ENTPD8,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.0131264713839048,0.984379308950464,UP,1.59537262607215,1.4955811989711e-15,NS,-0.5869767550661835,0.0001054777492946,DOWN,-0.9749691584109036,9.919176751628896e-20,NS,-0.4622204400122642,0.4225066219028421
ENSG00000161677,JOSD2,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.560759183306248,0.267762752108638,UP,1.00189924981699,0.0010273027842546,DOWN,-0.8418648499979482,3.956562765483601e-07,DOWN,-1.1635545085793069,3.0694620107645265e-14,NS,-0.6311048953549043,0.3179162275315378
ENSG00000133131,MORC4,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,0.579578202177464,0.0034227545983086,NS,0.535407427488082,1.9670756842043e-07,UP,2.5753767923465403,4.675065437608219e-36,UP,2.374754312472127,1.9774491371478787e-14,DOWN,-0.9842943055619796,0.0157661809160821
ENSG00000132693,CRP,"UP in 1 (Hoang_et_al) | DOWN in 3 (Govaere_et_al,External_MCD_1,External_MCD_2)",UP,2.5806156844691,4.16764894383494e-05,DOWN,-1.43410333604492,0.006299153018452,NS,-0.3805952253344781,0.0546258716966796,DOWN,-1.868406979132737,7.92565442733941e-19,DOWN,-1.7520018524516834,1.4662785905268397e-12
ENSG00000150782,IL18,UP in 1 (Hoang_et_al) | DOWN in 1 (External_MCD_1),UP,1.08462504149614,0.0176533338921937,NS,-0.341827075884611,0.308908643782875,NS,-0.4674359432276735,0.0050065501375264,DOWN,-1.3697285079562558,1.244498183327474e-16,NS,0.2163602433748669,0.7468662441275933
ENSG00000120437,ACAT2,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.693211985154212,0.366691510207669,UP,0.98360531074999,0.0024849698272837,NS,-0.581335513477729,0.0001868247379194,DOWN,-1.540940287725857,1.7267179728786736e-10,DOWN,-0.8198813580316755,0.0079277930258129
ENSG00000228278,ORM2,UP in 1 (External_MCD_2) | DOWN in 1 (In_house_MCD),NS,0.344302424799473,0.515101115599862,NS,-0.435150312617317,0.0182229558625434,DOWN,-2.1060320337046363,2.011730672608381e-06,NS,-0.5952706424250774,1.5301394617187276e-07,UP,1.2375759314548005,0.0546590276586212
ENSG00000187608,ISG15,"UP in 2 (Govaere_et_al,In_house_MCD) | DOWN in 1 (External_MCD_2)",NS,1.24280136306614,0.200169441402254,UP,0.820918556193322,0.0105721846050558,UP,0.8316226641133424,0.015576697816158,NS,0.4476511480428056,0.0166433044907946,DOWN,-0.8223968823368085,0.0814474971582812
ENSG00000142330,CAPN10,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.305681399915055,0.187137529056615,UP,0.856189691394259,0.0001856373044801,NS,-0.5588534107414644,0.0020912616576218,DOWN,-0.9321753313284316,6.843490486443578e-06,DOWN,-0.904455894355542,0.014646331906556
ENSG00000108641,B9D1,UP in 1 (External_MCD_1) | DOWN in 1 (Hoang_et_al),DOWN,-1.42182584302335,1.32628683218377e-07,NS,0.261722012482518,0.0850726495006256,NS,0.5831244848286397,0.041723346682073,UP,1.0695929086705185,0.0332578254233745,NS,0.8456903190452766,0.3613661466929289
ENSG00000109881,CCDC34,"UP in 2 (External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,-0.190205046887247,0.61644390636279,DOWN,-0.889489600333249,1.82980236957087e-07,NS,0.5575386679358428,0.0200872197138138,UP,1.476800045830554,3.655647724820042e-08,UP,1.9043460360684537,6.027200547300184e-06
ENSG00000221869,CEBPD,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (Govaere_et_al)",NS,-0.453065201577983,0.235116923556782,DOWN,-2.68690417224975,4.992674379799549e-30,UP,1.455039187686958,2.759172672460563e-09,UP,0.9575690507231468,0.0018469615221782,NS,0.3519346677587471,0.5099732968415019
ENSG00000076554,TPD52,"UP in 3 (In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,0.164499949147365,0.59666933571505,DOWN,-1.11046944557281,1.56660505825367e-05,UP,1.0658162113994347,8.463202600150185e-07,UP,1.1071715650705387,4.3796429524715553e-16,UP,1.1603445066247724,0.0017113813128019
ENSG00000065833,ME1,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",UP,2.08198511444315,0.0005717560516062,UP,1.53420144808339,4.02527303571251e-06,NS,0.2181106892071981,0.326531013344494,DOWN,-1.1814945855305865,1.84520148348458e-05,DOWN,-1.542663071348882,2.967156927675409e-07
ENSG00000106366,SERPINE1,"UP in 3 (Hoang_et_al,In_house_MCD,External_MCD_1) | DOWN in 1 (Govaere_et_al)",UP,2.67812279336021,9.6747141757161e-06,DOWN,-1.13064459193081,0.0025636905253632,UP,3.447599733542799,1.3433586829039084e-16,UP,3.555888457667954,1.0838859332026237e-21,NS,0.5780660827658433,0.4178621530435513
ENSG00000179023,KLHDC7A,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.0777587736507417,0.873751799773449,UP,1.73279712472331,2.61050164454027e-22,NS,0.0013957736868483,0.9968611160096996,NS,-0.304259557154258,0.4000164542932921,DOWN,-1.9657695698853173,3.648805292916579e-07
ENSG00000118777,ABCG2,"UP in 2 (In_house_MCD,External_MCD_2) | DOWN in 1 (Hoang_et_al)",DOWN,-0.968415337825931,0.0018837365238814,NS,-0.39785578155546,0.0881275442928116,UP,0.9845239458798654,8.503925812341818e-09,NS,0.087779409024231,0.8089836294131555,UP,1.6942052717131024,0.0001571965393515
ENSG00000177606,JUN,"UP in 4 (Hoang_et_al,In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,1.32764035534751,4.17782440274295e-06,DOWN,-1.48612088213705,1.9284197399974e-09,UP,0.829373255610717,0.0029822097686959,UP,1.4213313808158234,0.0001705900269128,UP,1.3310151864479978,5.988049619530038e-06
ENSG00000188559,RALGAPA2,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.137555476425546,0.422538464361185,UP,0.991497300478021,5.1052656558416186e-11,NS,0.0898281097745685,0.7343843462627057,NS,-0.3246164146652938,0.1001748768928684,DOWN,-0.8496704797212571,0.0292179163512308
ENSG00000182287,AP1S2,"UP in 2 (In_house_MCD,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,0.329637000540131,0.316012126105465,DOWN,-0.936337018212442,0.0056455477626763,UP,1.016486178184481,1.0112837190234045e-06,NS,0.4973491151696256,0.1163225280106105,UP,1.5552112439286885,5.2596008758690295e-05
ENSG00000197226,TBC1D9B,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.114141141284385,0.55070043268997,UP,0.901131246946098,4.50368528395196e-13,NS,-0.3407240825591157,0.083670957031985,NS,-0.5342594067706419,3.474571679136266e-07,DOWN,-0.817677627725593,0.0140841270316842
ENSG00000182327,GLTPD2,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.0179508848472177,0.97657067646645,UP,0.909323011140436,0.0002903808925708,NS,-0.7735425755188826,9.165298968273587e-06,DOWN,-1.5022370211709617,1.0706968613602303e-54,DOWN,-1.138950458933794,0.0001057201155164
ENSG00000137880,GCHFR,"UP in 1 (Govaere_et_al) | DOWN in 3 (In_house_MCD,External_MCD_1,External_MCD_2)",NS,-0.708388745270425,0.216615017993852,UP,1.72454694202074,2.69858321900038e-06,DOWN,-1.4930998580341648,2.1173554156977848e-11,DOWN,-1.25155057578925,7.091706559027222e-13,DOWN,-1.050008761928869,0.0017762332049434
ENSG00000147383,NSDHL,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 3 (In_house_MCD,External_MCD_1,External_MCD_2)",UP,1.47715864015744,0.0217858647954756,UP,0.99408158431096,0.0010363949350183,DOWN,-1.1233425444269922,2.0822771128759684e-10,DOWN,-2.0117817082981664,2.817694494860549e-19,DOWN,-1.329890438815615,0.0025044767851533
ENSG00000177426,TGIF1,UP in 1 (External_MCD_2) | DOWN in 1 (Govaere_et_al),NS,0.309014791266456,0.227377051801339,DOWN,-0.861928763544449,6.434414335839349e-11,NS,0.2027258426009105,0.2835169145496576,NS,0.4608108930863068,0.0238511079836955,UP,1.0462531385817035,0.0004548894773662
ENSG00000143434,SEMA6C,UP in 1 (External_MCD_2) | DOWN in 1 (Hoang_et_al),DOWN,-1.2290120437241,2.5377045283259e-06,NS,-0.262844567919701,0.584895968544442,NS,-0.1408541547730795,0.6425958122163253,NS,0.5901727561729845,0.0901570098224006,UP,1.1114073634655623,0.0105584682112329
ENSG00000171119,NRTN,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.395473657801199,0.441619671896446,UP,0.958469173870354,6.32285169362904e-05,NS,0.0590890350411347,0.8655669546847474,NS,-0.1726471832345166,0.8556138450814738,DOWN,-1.4909652888767364,0.0500684932391628
ENSG00000166289,PLEKHF1,UP in 1 (In_house_MCD) | DOWN in 1 (External_MCD_2),NS,-0.163675931448117,0.613327183174816,NS,-0.508360797531158,0.0738440988964622,UP,0.9113720443284058,2.5441957648622503e-06,NS,-0.1673159129623769,0.5588033007280223,DOWN,-1.0789086848694946,0.0018576696199183
ENSG00000073670,ADAM11,UP in 1 (External_MCD_1) | DOWN in 1 (In_house_MCD),NS,0.188158787388047,0.837564339419488,NS,0.464659270327121,0.43050775408955,DOWN,-1.2924902332428008,9.023799236228192e-05,UP,0.9351731434395508,0.0063543719243364,NS,0.3574247954256478,0.4539173500632373
ENSG00000178695,KCTD12,"UP in 2 (In_house_MCD,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,0.779190408547438,0.0709602984877634,DOWN,-1.02150013446159,0.0003857498936802,UP,1.0271492374776607,1.2895196801161609e-08,NS,0.2790921259072049,0.2829667810600383,UP,1.521111422458553,0.0008945459947378
ENSG00000106633,GCK,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,1.39385643563248,0.168184249134456,UP,2.29422043868446,3.31698216578588e-06,NS,0.5434043499194717,0.036842852360984,DOWN,-2.5943795835993284,1.3461262052315506e-07,DOWN,-1.809812677304653,3.60680575915394e-06
ENSG00000244122,UGT1A7,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,0.238078420703054,0.654953344928922,NS,0.724458965871848,0.138573319106123,UP,1.4214868500561275,1.0128984522082106e-06,UP,2.037331586291966,1.828650583584709e-09,DOWN,-2.84154639016874,6.044064726602614e-10
ENSG00000178445,GLDC,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.42825329707154,0.174637276933527,UP,0.88855193925675,5.13305501182943e-08,NS,-0.2446529349872546,0.2952450297816515,DOWN,-0.9828802338944808,0.0001973967965919,DOWN,-1.214991771807155,0.0186313283637432
ENSG00000135100,HNF1A,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.377627639208944,0.1684045431038,UP,1.18392609099088,2.15817667547456e-08,NS,-0.4284965089102591,0.0654967478640294,NS,-0.3815732248276278,0.0127379072651088,DOWN,-1.1496779862759872,0.0018195299818657
ENSG00000140465,CYP1A1,"UP in 2 (External_MCD_1,External_MCD_2) | DOWN in 1 (Hoang_et_al)",DOWN,-1.97311546935925,0.0313045901892015,NS,0.496523594323112,0.427648611007066,NS,0.4491235617862897,0.0608880565761209,UP,1.187925354912038,0.0002187346444355,UP,2.955658762943351,0.0495074877336486
ENSG00000116741,RGS2,UP in 1 (External_MCD_2) | DOWN in 1 (Govaere_et_al),NS,0.641532911373805,0.1513907588152,DOWN,-2.36053021592873,5.796899844732121e-31,NS,0.744234818580388,0.0006493430635795,NS,0.4713742073801517,0.0327149004179227,UP,2.188778458178637,5.940486290165206e-06
ENSG00000161999,JMJD8,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.229743538736426,0.437514216161716,UP,0.899401837606048,1.26227452848951e-10,NS,-0.2367329208920343,0.1491751876452509,NS,-0.700078211936604,0.0009140438134943,DOWN,-1.934647175462168,3.1898604448334563e-05
ENSG00000104518,GSDMD,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.461579112519404,0.0783994663859661,UP,1.02814918612172,9.62495324653184e-09,NS,0.0366623893062534,0.8663513618946015,DOWN,-0.9018103347506872,2.077276739363033e-09,NS,-0.086034745017521,0.8916679774629681
ENSG00000187048,CYP4A11,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,-0.743947258614449,0.0137868148340098,NS,-0.085179515917585,0.694124262963825,UP,3.920770669254584,2.229605616802601e-28,UP,5.258083611429913,1.043921346770966e-78,DOWN,-1.1818629557423252,0.0002364886681857
ENSG00000196562,SULF2,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.721790151642731,0.004356398854131,UP,1.26844144010656,7.00515337545686e-14,NS,-0.0195055605462652,0.9593305691742388,DOWN,-0.9650314854348344,4.556269705242229e-07,NS,0.5014036778454984,0.2735887991203145
ENSG00000261701,HPR,UP in 1 (In_house_MCD) | DOWN in 1 (Govaere_et_al),NS,-0.309541243720428,0.55702137276963,DOWN,-1.78850541664557,1.15369233324176e-27,UP,1.0375917125367455,2.928381084074024e-05,NS,-0.0495588264909227,0.915456714112268,NS,-0.0217335667791357,0.9778589693825078
ENSG00000167700,MFSD3,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.0463005187807799,0.926205165567021,UP,1.15014919209782,2.00449602363871e-08,DOWN,-0.8614417962695595,0.0001883039382227,DOWN,-1.043726478593677,1.8241409135041037e-09,NS,0.291134118622667,0.619104046350633
ENSG00000277443,MARCKS,UP in 1 (External_MCD_2) | DOWN in 1 (Govaere_et_al),NS,0.731772100760401,0.0530546769691942,DOWN,-0.955013500245252,0.0009359509100156,NS,0.6790236808474763,0.0001286762023109,NS,0.1239267535665241,0.6461712156868139,UP,1.5173964886878035,0.0001469172175659
ENSG00000149428,HYOU1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.676174974034123,0.0289642830886663,UP,1.59240422841557,2.1351557917407898e-12,NS,0.19267546024709,0.4331608302150575,NS,-0.3227715888361535,0.4511716692202246,DOWN,-1.0523793556050205,0.0325611856287348
ENSG00000120907,ADRA1A,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.0738199838474077,0.884251741519244,UP,0.866416698909535,0.0005252673309298,NS,0.177482829769409,0.4395758335475133,NS,0.3489906517379233,0.1406983264333206,DOWN,-0.8829366123992799,0.0378883562905352
ENSG00000157557,ETS2,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (Govaere_et_al)",NS,0.166613469565587,0.579903881933946,DOWN,-0.923169116743344,2.15954634697329e-08,UP,1.2451286419329737,3.235247264823879e-10,UP,1.268239833961074,2.293577569779718e-12,NS,0.354386902637656,0.4236972000967192
ENSG00000104549,SQLE,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 1 (External_MCD_2)",UP,2.51322068515555,0.004508753629658,UP,1.23094023332698,0.0208519623628856,NS,-0.0432560255549643,0.8618463414750068,NS,-0.6759347865830692,0.0047056642822251,DOWN,-1.0170957530126872,0.0187456143060214
ENSG00000168439,STIP1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.621518769011017,0.0059667350661428,UP,0.928402664739332,1.78201268854298e-14,NS,0.1991855257744076,0.5096505366367997,NS,-0.2899662323886878,0.2939524251082177,DOWN,-0.9174113623630622,0.0012734438980671
ENSG00000069493,CLEC2D,"UP in 1 (External_MCD_2) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.584777894233968,0.0576537392697955,NS,-0.654994060559139,0.0200217054406546,DOWN,-0.9756758294924736,1.32532717860132e-07,DOWN,-1.1053158637656209,4.235485451118166e-17,UP,2.61980695260738,1.7625934227431978e-05
ENSG00000198925,ATG9A,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.17457933289629,0.421368565256434,UP,1.82469142142294,2.13564818014181e-18,NS,-0.1262930583634915,0.6896396577597488,NS,-0.5698577251657932,0.0005970260711854,DOWN,-1.1849990311142893,0.0005091192894296
ENSG00000162896,PIGR,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.695290499066564,0.0336909526547054,UP,1.05635431147557,1.16910667437657e-11,NS,-0.4983201345300833,0.0112890766389117,DOWN,-2.0529206367780106,1.865126539537899e-15,DOWN,-1.5989917593799368,1.6295594992081016e-06
ENSG00000197405,C5AR1,"UP in 4 (Hoang_et_al,In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,1.13183397222042,0.0170428943951369,DOWN,-0.811003127026411,0.0046984354432327,UP,3.2119548901606163,1.2680444148463776e-19,UP,2.635824439414556,2.132446841056167e-21,UP,4.039750503146448,4.671794253328906e-15
ENSG00000012660,ELOVL5,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 1 (External_MCD_1)",UP,0.830690384224291,0.0028500203536852,UP,1.05623545205219,4.41067369389447e-06,NS,0.1493973965334896,0.5519431258697515,DOWN,-1.6838600077822778,2.23376306365198e-10,NS,-0.2461244728177986,0.654336777318819
ENSG00000081320,STK17B,"UP in 2 (Hoang_et_al,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,0.866473270413775,0.0115016936236024,DOWN,-1.00784856666912,9.06908499140067e-05,NS,0.4709210186904831,0.0178899425884622,NS,0.2237651980170448,0.3391667688535342,UP,1.1219433614797392,0.0199918235317813
ENSG00000107331,ABCA2,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.0849233706358126,0.844315810158075,UP,1.51204261606045,1.60840254565837e-11,DOWN,-0.8921611185473692,0.0025684336009395,DOWN,-1.8006526336259676,1.1209189803035e-35,NS,-0.3939730853239056,0.4167572168753534
ENSG00000197977,ELOVL2,"UP in 1 (Hoang_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",UP,1.19175222898847,0.005845917060557,NS,0.588935203760797,0.0484160429987353,NS,-0.0223805855616191,0.9223635011270332,DOWN,-1.8233582399901245,3.4238473686004654e-19,DOWN,-1.017579720035039,0.0067463876565349
ENSG00000188931,CFAP126,UP in 1 (Govaere_et_al) | DOWN in 1 (In_house_MCD),NS,-0.304214357458856,0.22766223674632,UP,1.10402360516235,1.1426326183419e-07,DOWN,-1.0636383590926874,2.588376035949732e-05,NS,-0.2927385467641222,0.2594692011404336,NS,0.7805451775330049,0.29841313207767
ENSG00000248098,BCKDHA,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.0318520826957896,0.949708434495114,UP,2.27703110435362,1.89386171377576e-13,NS,0.1123054203386518,0.598403359967384,NS,-0.0422400517609581,0.7975179277095024,DOWN,-1.5827300308635843,7.965622880694268e-05
ENSG00000185201,IFITM2,UP in 1 (External_MCD_2) | DOWN in 1 (External_MCD_1),NS,0.538388411506878,0.21168153240001,NS,-0.749149541464932,0.0001322564982357,NS,-1.209640986331493,0.0281523730268523,DOWN,-1.034683105986291,6.602161695864725e-17,UP,1.3341673699424017,0.0002152099486664
ENSG00000143878,RHOB,UP in 1 (In_house_MCD) | DOWN in 1 (Govaere_et_al),NS,-0.22184733007696,0.561115213609391,DOWN,-1.94724530626852,1.12721514805708e-22,UP,1.354922100654541,1.430232087210793e-10,NS,0.6674413633764208,0.0012615635069732,NS,0.7665246145320139,0.023384583050115
ENSG00000182134,TDRKH,"UP in 1 (Hoang_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",UP,0.998822027142645,0.0019997316076152,NS,0.592417641781135,0.0084237890168836,DOWN,-0.8849167152873676,0.0001217288476171,DOWN,-0.9966832644750934,4.888193741893019e-06,NS,-0.2397378057568524,0.7993247958156053
ENSG00000100612,DHRS7,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.535577542160649,0.0972998012858874,UP,1.1979213071271,3.0966084810640897e-12,NS,-0.419442545686706,0.0734858718778188,DOWN,-1.1512037844002905,1.712858177908158e-05,DOWN,-1.6208928933936522,9.638043581072507e-06
ENSG00000144749,LRIG1,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,-0.168582046216068,0.671571001878001,UP,1.56170789536345,2.92878044419389e-08,NS,-0.3058617050642839,0.1572210542159849,DOWN,-1.1400180562692004,1.147059180004812e-06,DOWN,-0.938946200158864,0.0182340264202599
ENSG00000096060,FKBP5,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 2 (Hoang_et_al,External_MCD_2)",DOWN,-0.993050972424857,0.0665742778592347,NS,-0.425280379776912,0.343411837406192,UP,2.1207913497687274,4.1559117896309315e-11,UP,1.1861796880245146,8.107418502560987e-06,DOWN,-1.1742986159358195,0.0026105771851708
ENSG00000242515,UGT1A10,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,0.484694112179894,0.751668392536477,NS,2.7279283386278,0.0228921635206194,UP,1.4214868500561275,1.0128984522082106e-06,UP,2.037331586291966,1.828650583584709e-09,DOWN,-2.84154639016874,6.044064726602614e-10
ENSG00000112759,SLC29A1,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,0.287395805844822,0.216284954120741,UP,0.961568763121915,4.83347481397587e-17,NS,-0.1446829418907297,0.5926884249823671,DOWN,-1.399116227370377,7.0255056587851476e-12,DOWN,-1.1187847692563586,0.0044920762106199
ENSG00000261469,ENSG00000261469,UP in 1 (Govaere_et_al) | DOWN in 1 (Hoang_et_al),DOWN,-1.16874401813591,0.0021559977685234,UP,1.2350504855907,5.94490184695253e-05,NS,,,NS,,,NS,,
