species,gene_id,gene_symbol,biotype,overlap_count,analyses
human,ENSG00000000938,FGR,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000001036,FUCA2,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000001167,NFYA,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000001561,ENPP4,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000001617,SEMA3F,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000001630,CYP51A1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000002330,BAD,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000002834,LASP1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000002933,TMEM176A,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000003056,M6PR,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000003137,CYP26B1,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000003147,ICA1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000003249,DBNDD1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000004478,FKBP4,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000004700,RECQL,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000004799,PDK4,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000005007,UPF1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000005059,MCUB,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000005194,CIAPIN1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000005206,SPPL2B,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000005421,PON1,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000005471,ABCB4,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); Patient | GSE130970 | NAS high (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000005844,ITGAL,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000005882,PDK2,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000006016,CRLF1,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000006062,MAP3K14,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000006118,TMEM132A,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000006282,SPATA20,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000006327,TNFRSF12A,protein_coding,6,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000006453,BAIAP2L1,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000006534,ALDH3B1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000006625,GGCT,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000006634,DBF4,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000006652,IFRD1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
