"gene_symbol","gene_symbol_clean","ensembl_id","biotype","chromosome"
"ACAD10","ACAD10","ENSG00000111271","protein_coding","12"
"ACSL5","ACSL5","ENSG00000197142","protein_coding","10"
"ADCY3","ADCY3","ENSG00000138031","protein_coding","2"
"ADH1B","ADH1B","ENSG00000196616","protein_coding","4"
"ADH1C","ADH1C","ENSG00000248144","protein_coding","4"
"ADH5","ADH5","ENSG00000197894","protein_coding","4"
"AKAP6","AKAP6","ENSG00000151320","protein_coding","14"
"AKTIP","AKTIP","ENSG00000166971","protein_coding","16"
"ALDH2","ALDH2","ENSG00000111275","protein_coding","12"
"ALKAL2","ALKAL2","ENSG00000189292","protein_coding","2"
"AMPD2","AMPD2","ENSG00000116337","protein_coding","1"
"AMZ2","AMZ2","ENSG00000196704","protein_coding","17"
"ANAPC4","ANAPC4","ENSG00000053900","protein_coding","4"
"APOBR","APOBR","ENSG00000184730","protein_coding","16"
"APOC1","APOC1","ENSG00000130208","protein_coding","19"
"APOE","APOE","ENSG00000130203","protein_coding","19"
"APOH","APOH","ENSG00000091583","protein_coding","17"
"ARHGAP39","ARHGAP39","ENSG00000147799","protein_coding","8"
"ARMC6","ARMC6","ENSG00000105676","protein_coding","19"
"ARPP21","ARPP21","ENSG00000172995","protein_coding","3"
"ATP2A1","ATP2A1","ENSG00000196296","protein_coding","16"
"ATP5F1E","ATP5F1E","ENSG00000124172","protein_coding","20"
"ATXN2L","ATXN2L","ENSG00000168488","protein_coding","16"
"BDNF","BDNF","ENSG00000176697","protein_coding","11"
"BRAP","BRAP","ENSG00000089234","protein_coding","12"
"BTNL2","BTNL2","ENSG00000275798","protein_coding","HSCHR6_8_CTG1"
"BTNL2","BTNL2","ENSG00000226127","protein_coding","HSCHR6_MHC_APD_CTG1"
"BTNL2","BTNL2","ENSG00000204290","protein_coding","6"
"BTNL2","BTNL2","ENSG00000229741","protein_coding","HSCHR6_MHC_DBB_CTG1"
"BTNL2","BTNL2","ENSG00000225845","protein_coding","HSCHR6_MHC_MCF_CTG1"
"BTNL2","BTNL2","ENSG00000224770","protein_coding","HSCHR6_MHC_COX_CTG1"
"BTNL2","BTNL2","ENSG00000229597","protein_coding","HSCHR6_MHC_QBL_CTG1"
"BTNL2","BTNL2","ENSG00000225412","protein_coding","HSCHR6_MHC_MANN_CTG1"
"BTNL2","BTNL2","ENSG00000224242","protein_coding","HSCHR6_MHC_SSTO_CTG1"
"C12orf42","C12orf42","ENSG00000179088","protein_coding","12"
"C4orf17","C4orf17","ENSG00000138813","protein_coding","4"
"C8orf33","C8orf33","ENSG00000291362","protein_coding","HG1047_PATCH"
"C8orf33","C8orf33","ENSG00000182307","protein_coding","8"
"CCDC146","CCDC146","ENSG00000135205","protein_coding","7"
"CCDC34","CCDC34","ENSG00000109881","protein_coding","11"
"CCDC63","CCDC63","ENSG00000173093","protein_coding","12"
"CD19","CD19","ENSG00000177455","protein_coding","16"
"CERS1","CERS1","ENSG00000223802","protein_coding","19"
"CHADL","CHADL","ENSG00000100399","protein_coding","22"
"CILP2","CILP2","ENSG00000160161","protein_coding","19"
"CLN3","CLN3","ENSG00000188603","protein_coding","16"
"CLN3|APOBR","CLN3","ENSG00000188603","protein_coding","16"
"COMP","COMP","ENSG00000105664","protein_coding","19"
"COQ4","COQ4","ENSG00000167113","protein_coding","9"
"CPNE4","CPNE4","ENSG00000196353","protein_coding","3"
"CREB1","CREB1","ENSG00000118260","protein_coding","2"
"CRLF1","CRLF1","ENSG00000006016","protein_coding","19"
"CRTC1","CRTC1","ENSG00000105662","protein_coding","19"
"CUX2","CUX2","ENSG00000111249","protein_coding","12"
